STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
278,1018290,,8.5,,,,9.0,7.5,,,
279,1018291,,8.5,,,,,,,,
280,1018292,8.6,,,9.0,8.25,,,,,
281,1018294,,5.0,,,,6.5,7.25,,,
282,1018295,4.0,6.5,,,,6.5,7.25,,,
283,1018296,3.0,5.0,,,,3.75,4.5,5.5,,
284,1018297,6.6,8.0,,,,,,,9.0,N1
285,1018299,,4.75,,,,5.75,5.25,,,
286,1018300,,9.25,,,,,,,,
287,1018302,7.0,,6.25,3.25,5.5,,,,,
288,1018303,,5.25,,,,3.25,6.5,,,
289,1018304,,6.0,,,,,,,,
290,1018305,7.6,9.25,,,,6.0,,,,
291,1018307,6.0,,4.0,2.5,,,,,,
292,1018308,,7.5,,,,,,,,
293,1018309,,5.25,,,,4.0,6.75,,,
294,1018310,8.2,8.0,,,,9.0,,,,
295,1018311,7.8,7.0,,,,,,,5.4,N1
296,1018312,,5.0,,,,4.5,6.5,,,
297,1018313,7.6,,8.0,5.25,7.5,,,,8.2,N1
298,1018314,,6.25,,,,6.0,6.5,,,
299,1018315,8.6,6.5,9.0,1.75,4.5,,,,7.8,N1
300,1018316,8.2,,5.25,9.25,2.75,,,,7.8,N1
301,1018317,,6.75,,,,4.0,6.5,6.5,,
302,1018318,4.4,,3.5,3.25,,,,,,
303,1018319,,6.5,,,,6.5,8.25,7.5,,
304,1018320,,8.25,,,,7.5,8.5,8.25,6.6,N1
305,1018321,5.8,8.25,,,,,,,6.2,N1
306,1018323,,7.5,,,,6.0,7.5,,,
307,1018324,8.0,7.5,,,,,,,8.2,N1
308,1018325,,6.0,,,,7.0,6.0,7.25,,
309,1018326,4.8,4.75,,,,5.0,6.0,8.25,4.4,N1
310,1018327,6.0,7.75,,,,7.5,,,,
311,1018329,,7.25,,,,6.25,8.25,8.0,,
312,1018330,7.2,9.0,7.5,,,,,,5.4,N1
313,1018331,8.6,9.0,,,,8.75,,,8.4,N1
314,1018332,6.0,8.5,,,,,8.5,,5.0,N1
315,1018333,8.0,6.75,7.75,,,,,,8.2,N1
316,1018335,,6.25,,,,4.25,8.25,,,
317,1018336,8.2,7.5,,5.5,,,,,7.2,N1
318,1018337,,6.75,,,,5.5,7.75,8.75,,
319,1018338,,7.25,,,,9.0,9.75,9.75,,
320,1018339,7.8,7.75,,,,7.75,7.25,,,
321,1018340,,6.0,,,,6.0,6.0,,,
322,1018341,7.8,8.5,,,,,,,6.4,N1
323,1018342,4.0,5.75,,,,4.5,4.0,8.0,2.8,N1
324,1018343,,9.0,,,,8.75,7.75,,,
325,1018344,,9.25,,,,8.5,7.25,,,
326,1018345,7.2,6.25,,,,,,,6.0,N1
327,1018346,7.8,8.5,,,,,,,7.0,N1
328,1018347,7.6,9.0,,,,7.75,6.5,,6.2,N1
329,1018348,7.4,8.75,,,,,,,7.8,N1
330,1018349,,7.25,,,,9.0,9.25,,,
